State,code,date,claims
Ohio,OH,2/8/20,6825
Oklahoma,OK,2/8/20,1715
Oregon,OR,2/8/20,4953
Pennsylvania,PA,2/8/20,14425
Rhode Island,RI,2/8/20,959
South Carolina,SC,2/8/20,2054
South Dakota,SD,2/8/20,223
Tennessee,TN,2/8/20,2161
Texas,TX,2/8/20,13869
Utah,UT,2/8/20,1303
Vermont,VT,2/8/20,475
Virginia,VA,2/8/20,3097
Washington,WA,2/8/20,7161
West Virginia,WV,2/8/20,1206
Wisconsin,WI,2/8/20,6579
Wyoming,WY,2/8/20,589
Alabama,AL,2/15/20,2170
Alaska,AK,2/15/20,1122
Arizona,AZ,2/15/20,3807
Arkansas,AR,2/15/20,1837
California,CA,2/15/20,43458
Colorado,CO,2/15/20,2049
Connecticut,CT,2/15/20,2994
Delaware,DE,2/15/20,622
District of Columbia,DC,2/15/20,539
Florida,FL,2/15/20,5457
Georgia,GA,2/15/20,5199
Hawaii,HI,2/15/20,1135
Idaho,ID,2/15/20,1446
Illinois,IL,2/15/20,9343
Indiana,IN,2/15/20,3016
Iowa,IA,2/15/20,3066
Kansas,KS,2/15/20,2000
Kentucky,KY,2/15/20,2625
Louisiana,LA,2/15/20,2058
Maine,ME,2/15/20,881
Maryland,MD,2/15/20,3203
Massachusetts,MA,2/15/20,5523
Michigan,MI,2/15/20,6869
Minnesota,MN,2/15/20,3700
Mississippi,MS,2/15/20,963
Missouri,MO,2/15/20,4801
Montana,MT,2/15/20,902
Nebraska,NE,2/15/20,833
Nevada,NV,2/15/20,2286
New Hampshire,NH,2/15/20,456
New Jersey,NJ,2/15/20,8304
New Mexico,NM,2/15/20,784
New York,NY,2/15/20,16545
North Carolina,NC,2/15/20,3611
North Dakota,ND,2/15/20,447
Ohio,OH,2/15/20,7329
Oklahoma,OK,2/15/20,1779
Oregon,OR,2/15/20,4853
Pennsylvania,PA,2/15/20,15893
Rhode Island,RI,2/15/20,971
South Carolina,SC,2/15/20,2099
South Dakota,SD,2/15/20,217
Tennessee,TN,2/15/20,2362
Texas,TX,2/15/20,13818
Utah,UT,2/15/20,1290
Vermont,VT,2/15/20,481
Virginia,VA,2/15/20,2575
Washington,WA,2/15/20,6619
West Virginia,WV,2/15/20,1364
Wisconsin,WI,2/15/20,6280
Wyoming,WY,2/15/20,529
Alabama,AL,2/22/20,1735
Alaska,AK,2/22/20,773
Arizona,AZ,2/22/20,3151
Arkansas,AR,2/22/20,1055
California,CA,2/22/20,34979
Colorado,CO,2/22/20,1862
Connecticut,CT,2/22/20,2435
Delaware,DE,2/22/20,632
District of Columbia,DC,2/22/20,422
Florida,FL,2/22/20,4861
Georgia,GA,2/22/20,5030
Hawaii,HI,2/22/20,1020
Idaho,ID,2/22/20,1114
Illinois,IL,2/22/20,11812
Indiana,IN,2/22/20,2979
Iowa,IA,2/22/20,2631
Kansas,KS,2/22/20,1494
Kentucky,KY,2/22/20,2508
Louisiana,LA,2/22/20,1798
Maine,ME,2/22/20,737
Maryland,MD,2/22/20,2700
Massachusetts,MA,2/22/20,9264
Michigan,MI,2/22/20,5942
Minnesota,MN,2/22/20,3539
Mississippi,MS,2/22/20,827
Missouri,MO,2/22/20,3063
Montana,MT,2/22/20,795
Nebraska,NE,2/22/20,493
Nevada,NV,2/22/20,2052
New Hampshire,NH,2/22/20,444
New Jersey,NJ,2/22/20,8396
New Mexico,NM,2/22/20,737
New York,NY,2/22/20,14144
North Carolina,NC,2/22/20,2852
North Dakota,ND,2/22/20,435
Ohio,OH,2/22/20,6208
Oklahoma,OK,2/22/20,1509
Oregon,OR,2/22/20,3514
Pennsylvania,PA,2/22/20,12631
Rhode Island,RI,2/22/20,1921
South Carolina,SC,2/22/20,1824
South Dakota,SD,2/22/20,191
Tennessee,TN,2/22/20,1855
Texas,TX,2/22/20,12047
Utah,UT,2/22/20,1008
Vermont,VT,2/22/20,610
Virginia,VA,2/22/20,2079
Washington,WA,2/22/20,5585
West Virginia,WV,2/22/20,1207
Wisconsin,WI,2/22/20,6098
Wyoming,WY,2/22/20,389
Alabama,AL,2/29/20,1575
Alaska,AK,2/29/20,874
Arizona,AZ,2/29/20,3086
Arkansas,AR,2/29/20,1418
California,CA,2/29/20,41678
Colorado,CO,2/29/20,1681
Connecticut,CT,2/29/20,2843
Delaware,DE,2/29/20,524
District of Columbia,DC,2/29/20,452
Florida,FL,2/29/20,4853
Georgia,GA,2/29/20,5538
Hawaii,HI,2/29/20,1049
Idaho,ID,2/29/20,998
Illinois,IL,2/29/20,8980
Indiana,IN,2/29/20,2276
Iowa,IA,2/29/20,2240
Kansas,KS,2/29/20,1517
Kentucky,KY,2/29/20,2223
Louisiana,LA,2/29/20,1509
Maine,ME,2/29/20,862
Maryland,MD,2/29/20,2626
Massachusetts,MA,2/29/20,4865
Michigan,MI,2/29/20,5419
Minnesota,MN,2/29/20,3410
Mississippi,MS,2/29/20,744
Missouri,MO,2/29/20,2732
Montana,MT,2/29/20,695
Nebraska,NE,2/29/20,502
Nevada,NV,2/29/20,2324
New Hampshire,NH,2/29/20,894
New Jersey,NJ,2/29/20,7773
New Mexico,NM,2/29/20,681
New York,NY,2/29/20,31208
North Carolina,NC,2/29/20,1767
North Dakota,ND,2/29/20,363
Ohio,OH,2/29/20,9916
Oklahoma,OK,2/29/20,1458
Oregon,OR,2/29/20,3936
Pennsylvania,PA,2/29/20,12045
Rhode Island,RI,2/29/20,874
South Carolina,SC,2/29/20,1977
South Dakota,SD,2/29/20,159
Tennessee,TN,2/29/20,2014
Texas,TX,2/29/20,12692
Utah,UT,2/29/20,885
Vermont,VT,2/29/20,863
Virginia,VA,2/29/20,3267
Washington,WA,2/29/20,5770
West Virginia,WV,2/29/20,1108
Wisconsin,WI,2/29/20,5658
Wyoming,WY,2/29/20,471
Alabama,AL,3/7/20,1663
Alaska,AK,3/7/20,815
Arizona,AZ,3/7/20,3357
Arkansas,AR,3/7/20,1843
California,CA,3/7/20,43385
Colorado,CO,3/7/20,1865
Connecticut,CT,3/7/20,2527
Delaware,DE,3/7/20,518
District of Columbia,DC,3/7/20,471
Florida,FL,3/7/20,5325
Georgia,GA,3/7/20,4569
Hawaii,HI,3/7/20,1275
Idaho,ID,3/7/20,938
Illinois,IL,3/7/20,8727
Indiana,IN,3/7/20,2223
Iowa,IA,3/7/20,2221
Kansas,KS,3/7/20,1365
Kentucky,KY,3/7/20,2463
Louisiana,LA,3/7/20,1698
Maine,ME,3/7/20,715
Maryland,MD,3/7/20,2675
Massachusetts,MA,3/7/20,4712
Michigan,MI,3/7/20,5150
Minnesota,MN,3/7/20,3488
Mississippi,MS,3/7/20,879
Missouri,MO,3/7/20,2994
Montana,MT,3/7/20,714
Nebraska,NE,3/7/20,501
Nevada,NV,3/7/20,2309
New Hampshire,NH,3/7/20,495
New Jersey,NJ,3/7/20,7996
New Mexico,NM,3/7/20,690
New York,NY,3/7/20,14035
North Carolina,NC,3/7/20,2575
North Dakota,ND,3/7/20,423
Ohio,OH,3/7/20,6545
Oklahoma,OK,3/7/20,1569
Oregon,OR,3/7/20,4154
Pennsylvania,PA,3/7/20,12227
Rhode Island,RI,3/7/20,700
South Carolina,SC,3/7/20,1889
South Dakota,SD,3/7/20,185
Tennessee,TN,3/7/20,2032
Texas,TX,3/7/20,14355
Utah,UT,3/7/20,1015
Vermont,VT,3/7/20,446
Virginia,VA,3/7/20,2527
Washington,WA,3/7/20,6616
West Virginia,WV,3/7/20,1033
Wisconsin,WI,3/7/20,5052
Wyoming,WY,3/7/20,534
Alabama,AL,3/14/20,1819
Alaska,AK,3/14/20,1120
Arizona,AZ,3/14/20,3844
Arkansas,AR,3/14/20,1382
California,CA,3/14/20,57606
Colorado,CO,3/14/20,2321
Connecticut,CT,3/14/20,3440
Delaware,DE,3/14/20,472
District of Columbia,DC,3/14/20,1213
Florida,FL,3/14/20,6463
Georgia,GA,3/14/20,5445
Hawaii,HI,3/14/20,1589
Idaho,ID,3/14/20,1031
Illinois,IL,3/14/20,10870
Indiana,IN,3/14/20,2596
Iowa,IA,3/14/20,2229
Kansas,KS,3/14/20,1755
Kentucky,KY,3/14/20,2785
Louisiana,LA,3/14/20,2255
Maine,ME,3/14/20,634
Maryland,MD,3/14/20,3864
Massachusetts,MA,3/14/20,7449
Michigan,MI,3/14/20,5338
Minnesota,MN,3/14/20,4010
Mississippi,MS,3/14/20,1147
Missouri,MO,3/14/20,4016
Montana,MT,3/14/20,817
